[2026-05-17 19:51:22] AKShare   603063_禾望电气  shape=(1540, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   002518_科士达  shape=(1540, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   603118_共进股份  shape=(1535, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   000063_中兴通讯  shape=(1539, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   600036_招商银行  shape=(1540, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   002142_宁波银行  shape=(1534, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   002594_比亚迪  shape=(1540, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   000002_万科A  shape=(1540, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   600519_贵州茅台  shape=(1540, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   002352_顺丰控股  shape=(1537, 7)  数据源=新浪后复权
[2026-05-17 19:51:22] AKShare   000300_沪深300  shape=(1540, 6)  数据源=东方财富
[2026-05-17 19:51:22] AKShare   399006_创业板指  shape=(1540, 6)  数据源=东方财富
[2026-05-17 19:51:22] AKShare   CPI同比  shape=(70, 2)  数据源=东方财富宏观
[2026-05-17 19:51:22] AKShare   M2同比  shape=(130, 2)  数据源=东方财富宏观
[2026-05-17 19:51:22] AKShare   财务指标(ROE+净利润率)  shape=(40, 4)  数据源=东方财富财务
