股票代码,股票名称,行业,年化收益率,年化波动率,偏度,峰度,最大回撤
603063,禾望电气,能源,16.67%,41.96%,0.440,4.170,-81.18%
002518,科士达,能源,15.81%,41.08%,0.326,4.766,-78.68%
603118,共进股份,通讯,3.60%,36.19%,0.021,6.168,-77.16%
000063,中兴通讯,通讯,1.04%,31.55%,0.422,6.909,-69.84%
600036,招商银行,银行,2.22%,20.42%,0.378,8.299,-54.64%
002142,宁波银行,银行,2.46%,24.34%,0.683,6.903,-60.54%
002594,比亚迪,汽车,16.38%,31.96%,0.495,6.322,-56.05%
000002,万科A,房地产,-17.54%,26.89%,0.779,8.247,-90.66%
600519,贵州茅台,白酒,2.78%,20.46%,0.370,9.060,-54.22%
002352,顺丰控股,物流,0.38%,23.88%,0.517,9.030,-75.67%
